Word | ROI | Freq | Fragments | Token Breakdown
ischemic | 540 | 270 | 3 | ['is', 'chem', 'ic']
prevention | 540 | 540 | 2 | ['pre', 'vention']
osteomyelitis | 537 | 179 | 4 | ['oste', 'omy', 'el', 'itis']
pericarditis | 534 | 178 | 4 | ['per', 'ic', 'ard', 'itis']
referred | 534 | 534 | 2 | ['re', 'ferred']
hodgkins | 534 | 178 | 4 | ['h', 'od', 'g', 'kins']
contraceptive | 532 | 266 | 3 | ['contr', 'ace', 'ptive']
angiotensin | 531 | 177 | 4 | ['ang', 'iot', 'ens', 'in']
phenytoin | 531 | 177 | 4 | ['phen', 'y', 'to', 'in']
submandibular | 531 | 177 | 4 | ['sub', 'mand', 'ib', 'ular']
inguinal | 530 | 530 | 2 | ['ingu', 'inal']
glossopharyngeal | 530 | 106 | 6 | ['g', 'loss', 'oph', 'ary', 'nge', 'al']
tenderness | 528 | 264 | 3 | ['t', 'end', 'erness']
maxillary | 526 | 526 | 2 | ['max', 'illary']
investigations | 526 | 263 | 3 | ['invest', 'ig', 'ations']
endometriosis | 525 | 175 | 4 | ['end', 'omet', 'ri', 'osis']
proliferative | 525 | 175 | 4 | ['pro', 'l', 'ifer', 'ative']
platelet | 524 | 524 | 2 | ['plate', 'let']
probable | 522 | 522 | 2 | ['prob', 'able']
apoptosis | 522 | 261 | 3 | ['ap', 'opt', 'osis']
menstrual | 520 | 260 | 3 | ['men', 'str', 'ual']
transplantation | 520 | 260 | 3 | ['trans', 'plant', 'ation']
transverse | 520 | 520 | 2 | ['trans', 'verse']
mitochondria | 520 | 260 | 3 | ['mit', 'ochond', 'ria']
lymphatic | 518 | 259 | 3 | ['ly', 'mph', 'atic']
amenorrhea | 518 | 259 | 3 | ['amen', 'orr', 'hea']
hallucinations | 516 | 258 | 3 | ['hall', 'uc', 'inations']
injection | 516 | 516 | 2 | ['in', 'jection']
hypocalcemia | 516 | 172 | 4 | ['hyp', 'ocal', 'c', 'emia']
medications | 514 | 257 | 3 | ['med', 'ic', 'ations']
presenting | 513 | 513 | 2 | ['present', 'ing']
thrombophlebitis | 510 | 85 | 7 | ['th', 'rom', 'b', 'oph', 'le', 'bit', 'is']
addition | 510 | 510 | 2 | ['add', 'ition']
vasudevan | 510 | 255 | 3 | ['vas', 'ude', 'van']
adrenergic | 510 | 170 | 4 | ['ad', 're', 'nerg', 'ic']
mechanical | 508 | 254 | 3 | ['me', 'chan', 'ical']
visceral | 508 | 254 | 3 | ['vis', 'c', 'eral']
diabetic | 506 | 506 | 2 | ['di', 'abetic']
hyperophy | 504 | 252 | 3 | ['hyper', 'oph', 'y']
infiltration | 504 | 252 | 3 | ['in', 'filtr', 'ation']
relatively | 504 | 504 | 2 | ['rel', 'atively']
preeclampsia | 504 | 126 | 5 | ['p', 'ree', 'cl', 'amps', 'ia']
parietal | 502 | 251 | 3 | ['par', 'iet', 'al']
necrotizing | 501 | 167 | 4 | ['n', 'ec', 'rot', 'izing']
contraindication | 501 | 167 | 4 | ['contr', 'ain', 'd', 'ication']
estrogen | 501 | 501 | 2 | ['est', 'rogen']
thiamine | 500 | 250 | 3 | ['th', 'iam', 'ine']
squamous | 498 | 498 | 2 | ['squ', 'amous']
cerebellum | 498 | 166 | 4 | ['c', 'ere', 'bell', 'um']
cellular | 497 | 497 | 2 | ['cell', 'ular']
diagnose | 496 | 248 | 3 | ['di', 'agn', 'ose']
granuloma | 496 | 248 | 3 | ['gran', 'ul', 'oma']
transmitted | 495 | 495 | 2 | ['trans', 'mitted']
phenylalanine | 495 | 165 | 4 | ['phen', 'yl', 'alan', 'ine']
necrotic | 492 | 164 | 4 | ['n', 'ec', 'rot', 'ic']
thrombocytopenic | 492 | 82 | 7 | ['th', 'rom', 'b', 'oc', 'yt', 'open', 'ic']
biochemistry | 490 | 490 | 2 | ['bio', 'chemistry']
carcinomas | 490 | 245 | 3 | ['car', 'cin', 'omas']
dominant | 489 | 489 | 2 | ['dom', 'inant']
pericardial | 489 | 163 | 4 | ['per', 'ic', 'ard', 'ial']
mesenteric | 488 | 244 | 3 | ['mes', 'enter', 'ic']
temporal | 487 | 487 | 2 | ['temp', 'oral']
rhabdomyosarcoma | 486 | 81 | 7 | ['r', 'hab', 'd', 'omy', 'os', 'ar', 'coma']
osteoporosis | 486 | 243 | 3 | ['oste', 'opor', 'osis']
cyclosporine | 485 | 97 | 6 | ['c', 'yc', 'lo', 'sp', 'or', 'ine']
urethral | 484 | 242 | 3 | ['ure', 'th', 'ral']
pyelonephritis | 484 | 121 | 5 | ['py', 'el', 'one', 'ph', 'ritis']
hemolysis | 484 | 242 | 3 | ['hem', 'ol', 'ysis']
perineal | 484 | 242 | 3 | ['per', 'ine', 'al']
pollicis | 484 | 242 | 3 | ['pol', 'lic', 'is']
alzheimers | 483 | 161 | 4 | ['al', 'z', 'heim', 'ers']
shoulder | 481 | 481 | 2 | ['should', 'er']
excretion | 481 | 481 | 2 | ['ex', 'cretion']
nystagmus | 480 | 160 | 4 | ['n', 'yst', 'ag', 'mus']
diplopia | 480 | 160 | 4 | ['d', 'ip', 'lop', 'ia']
vasoconstriction | 480 | 160 | 4 | ['vas', 'o', 'con', 'striction']
cholecystectomy | 480 | 160 | 4 | ['cho', 'lec', 'yst', 'ectomy']
norepinephrine | 480 | 160 | 4 | ['nore', 'pine', 'ph', 'rine']
susceptible | 478 | 239 | 3 | ['sus', 'cept', 'ible']
suggests | 478 | 478 | 2 | ['suggest', 's']
clostridium | 477 | 159 | 4 | ['clo', 'str', 'id', 'ium']
hypoplasia | 477 | 159 | 4 | ['hyp', 'op', 'las', 'ia']
tryptophan | 477 | 159 | 4 | ['try', 'pt', 'oph', 'an']
reabsorption | 476 | 238 | 3 | ['re', 'abs', 'orption']
polysaccharide | 476 | 119 | 5 | ['pol', 'ys', 'ac', 'char', 'ide']
